6 nm,13 nm,20 nm,100 nm,TCR only,CD4 only
0.0000080984,0.000023,0.0000151832,0.0000103281,0.0000123445,0.00000261808
0.0000530603,0.000018,0.0000066,0.0000182522,0.0000123445,0.00000261808
0.0000530603,0.000023,0.000012,0.0000149564,0.00000640109,0.000000
0.0000306853,0.000051,0.000012,0.0000027744,0.000015497,0.000000
0.0000109052,0.000020,0.000012,0.0000149564,0.0000123445,0.000000
0.0000306853,0.000025,0.0000066,0.0000106769,0.0000222165,0.000000
0.0000387837,0.000025,0.000015,0.00000376819,0.00000640109,0.00000261808
0.0000480517,0.0000106458,0.000036,0.00000939211,0.000015497,
0.0000391413,0.00000783816,0.0000166005,0.0000156757,,
0.0000434372,0.0000106458,0.0000197666,0.0000156757,,
0.0000152937,0.00000783816,0.0000135636,0.000012808,,
0.0000351227,0.0000166005,0.0000197666,0.0000217882,,
0.0000351227,0.000030164,0.0000197666,0.0000100527,,
0.0000127343,0.000030164,0.0000135636,0.0000217882,,
0.000030,0.0000106458,0.0000166005,0.000012808,,
0.000056,0.000030164,,,,
0.000027,0.0000265344,,,,
0.000051,,,,,
0.000015,,,,,
0.000015,,,,,
0.000051,,,,,
