,Force (pN),,,,,,,,,,,,,
t (s),0,3,6,9,12,15,18,21,24,27,30,33,36,39
0,0.185734486,0.185734486,0.185734486,0.185734486,0.185734486,0.185734486,0.185734486,0.185734486,0.185734486,0.185734486,0.185734486,0.185734486,0.185734486,0.185734486
0.01,0.205225639,0.235823193,0.250458176,0.25688673,0.259426591,0.260131248,0.259900835,0.259092989,0.257811378,0.256032521,0.25365761,0.250530306,0.246439213,0.241113976
0.02,0.220066425,0.280402971,0.312040333,0.326528911,0.332390005,0.334086904,0.333656366,0.331927124,0.329151685,0.325295382,0.320158637,0.313423628,0.304669554,0.29338018
0.03,0.231316591,0.319566953,0.369603606,0.393359447,0.403179425,0.406143238,0.405598589,0.402935538,0.398593809,0.392539568,0.384471735,0.373905075,0.360205233,0.342619599
0.04,0.239816353,0.35358184,0.422525265,0.456286808,0.47051907,0.474989127,0.474460523,0.470945338,0.465098375,0.456895923,0.445933573,0.431549075,0.412880448,0.388929083
0.05,0.246221887,0.382832404,0.470442879,0.514489485,0.533386525,0.539549186,0.539193913,0.534984112,0.527805474,0.517650039,0.504006587,0.486022148,0.462582546,0.432413709
0.06,0.251039982,0.407771721,0.513233925,0.567439146,0.59105917,0.599037404,0.599020981,0.594324777,0.586069717,0.57426596,0.558291192,0.537085395,0.50924901,0.473184812
0.07,0.254658844,0.428880616,0.550977675,0.614889958,0.643121872,0.652972675,0.653451473,0.648500743,0.639471602,0.626392708,0.608527229,0.584591791,0.552863131,0.511358186
0.08,0.257374035,0.446637322,0.583908379,0.656842566,0.689442145,0.701160865,0.702268714,0.697294451,0.687807749,0.673855703,0.654586216,0.628479279,0.593448775,0.547052478
0.09,0.259409563,0.461496691,0.612367529,0.693493467,0.730123447,0.743653038,0.745492949,0.740706089,0.731065253,0.716636791,0.696456718,0.668760842,0.631064631,0.580387759
0.1,0.260934636,0.473877446,0.636760625,0.725179887,0.765448132,0.780691053,0.783331964,0.778910786,0.769386519,0.754847277,0.734225447,0.705512769,0.665798263,0.611484279
0.11,0.262076743,0.484155661,0.657521478,0.752327792,0.795819808,0.812650494,0.816128153,0.812212028,0.803030569,0.788698104,0.768056533,0.738862214,0.697760272,0.640461397
0.12,0.26293176,0.492662716,0.675085012,0.775407704,0.82171181,0.839988218,0.844308895,0.840997262,0.832335593,0.818470579,0.79817098,0.768974952,0.727078767,0.667436675
0.13,0.263571689,0.499686273,0.689868207,0.794900282,0.843625307,0.86319864,0.868344405,0.865699472,0.857685871,0.844489946,0.82482776,0.796043995,0.753894317,0.692525129
0.14,0.264050547,0.505473094,0.702257985,0.811271669,0.862058036,0.882780285,0.888714802,0.886766491,0.879484687,0.867103151,0.848307443,0.820279507,0.778355463,0.715838617
0.15,0.264408824,0.510232859,0.712604602,0.824957433,0.87748293,0.899212281,0.905886366,0.904638264,0.898133648,0.886661251,0.868898755,0.841900233,0.80061485,0.737485357
0.16,0.264676856,0.514142387,0.721219095,0.836353446,0.890335054,0.912939404,0.920295912,0.919731348,0.914017988,0.903506351,0.886888103,0.861126515,0.820825985,0.757569555
0.17,0.264877357,0.517349873,0.728373535,0.845811916,0.901004965,0.924363914,0.932341754,0.932429409,0.927497022,0.917962566,0.902551858,0.878174826,0.839140584,0.776191137
0.18,0.265027333,0.519978907,0.734303057,0.853641045,0.90983669,0.933842371,0.942379616,0.943078374,0.938898707,0.930330336,0.916151038,0.893253689,0.855706482,0.793445565
0.19,0.265139511,0.522132148,0.739208931,0.860107001,0.917128796,0.941685885,0.950722049,0.951984972,0.948517318,0.940883384,0.927927974,0.906560802,0.870666039,0.80942373
0.2,0.265223415,0.523894588,0.743262097,0.865437259,0.92313736,0.948162543,0.957640137,0.959417583,0.956613325,0.949867654,0.938104545,0.918281168,0.884154976,0.824211906
0.21,0.265286169,0.525336409,0.746606831,0.869824595,0.928079957,0.953501062,0.963366577,0.96560853,0.96341476,0.957501647,0.946881608,0.928586044,0.896301596,0.83789176
0.22,0.265333103,0.526515438,0.749364275,0.873431277,0.932140054,0.957895018,0.968099457,0.970757197,0.969119469,0.9639777,0.954439289,0.937632528,0.907226298,0.850540405
0.23,0.265368206,0.527479239,0.751635731,0.876393149,0.935471419,0.961507183,0.972006268,0.975033502,0.973897868,0.969463832,0.960937856,0.945563631,0.917041355,0.86223049
0.24,0.265394459,0.528266879,0.753505618,0.878823428,0.93820229,0.96447372,0.975227859,0.978581424,0.977895857,0.974105901,0.966518985,0.952508686,0.92585089,0.873030315
0.25,0.265414094,0.528910406,0.755044092,0.880816137,0.940439191,0.966908047,0.977882147,0.981522396,0.981237741,0.978029863,0.971307224,0.958584016,0.933751005,0.883003973
0.26,0.265428778,0.529436089,0.756309328,0.882449128,0.942270322,0.968904312,0.980067496,0.983958442,0.984028991,0.981344018,0.97541156,0.963893743,0.940830026,0.892211506
0.27,0.26543976,0.529865442,0.757349471,0.883786709,0.943768517,0.970540451,0.981865713,0.985975012,0.986358799,0.984141144,0.97892699,0.968530689,0.947168838,0.900709071
0.28,0.265447974,0.530216073,0.758204307,0.884881901,0.944993793,0.971880829,0.983344675,0.987643488,0.98830238,0.986500488,0.981936046,0.972577311,0.952841268,0.908549122
0.29,0.265454116,0.530502386,0.758906677,0.885778347,0.945995523,0.972978506,0.984560585,0.989023376,0.989923019,0.988489559,0.984510226,0.97610664,0.957914515,0.915780585
0.3,0.26545871,0.530736159,0.759483655,0.886511926,0.946814261,0.973877158,0.98555991,0.990164194,0.991273858,0.990165755,0.986711326,0.979183191,0.962449585,0.922449042
0.31,0.265462146,0.530927021,0.759957548,0.8871121,0.94748328,0.97461269,0.986381011,0.991107092,0.992399454,0.99157778,0.988592646,0.981863824,0.966501744,0.928596917
0.32,0.265464716,0.53108284,0.76034672,0.887603047,0.948029857,0.975214589,0.987055527,0.99188622,0.993337116,0.99276691,0.990200082,0.984198561,0.970120957,0.934263651
0.33,0.265466637,0.531210044,0.760666281,0.888004587,0.948476331,0.975707053,0.987609528,0.992529896,0.994118049,0.993768073,0.991573096,0.986231328,0.973352322,0.939485881
0.34,0.265468074,0.531313884,0.760928658,0.888332965,0.948840991,0.976109925,0.988064479,0.993061584,0.994768331,0.994610802,0.992745575,0.988000648,0.976236475,0.94429761
0.35,0.265469149,0.531398649,0.761144067,0.888601487,0.949138798,0.976439466,0.988438045,0.993500707,0.995309736,0.99532004,0.99374659,0.989540257,0.978809988,0.948730372
0.36,0.265469953,0.531467841,0.761320905,0.888821045,0.949381987,0.976709002,0.988744754,0.993863341,0.995760436,0.995916841,0.994601057,0.990879674,0.981105732,0.952813393
0.37,0.265470554,0.531524319,0.761466071,0.889000557,0.949580562,0.97692944,0.988996551,0.994162782,0.996135587,0.996418967,0.995330315,0.992044697,0.98315322,0.956573737
0.38,0.265471004,0.53157042,0.761585233,0.88914732,0.949742699,0.977109715,0.989203253,0.994410023,0.996447827,0.99684139,0.995952626,0.993057857,0.984978927,0.960036458
0.39,0.26547134,0.53160805,0.761683045,0.889267303,0.949875077,0.977257136,0.989372927,0.994614151,0.996707685,0.997196731,0.996483614,0.993938817,0.986606581,0.963224733
0.4,0.265471591,0.531638764,0.76176333,0.889365389,0.949983155,0.977377686,0.989512201,0.994782676,0.996923936,0.997495618,0.996936634,0.994704726,0.988057433,0.966159991
0.41,0.26547178,0.531663834,0.761829227,0.889445572,0.950071391,0.97747626,0.989626516,0.9949218,0.997103889,0.997747005,0.997323103,0.995370534,0.9893505,0.968862039
0.42,0.26547192,0.531684297,0.761883314,0.889511118,0.950143426,0.977556861,0.989720342,0.99503665,0.99725363,0.99795843,0.997652774,0.995949267,0.990502795,0.971349175
0.43,0.265472025,0.531700998,0.761927707,0.889564698,0.950202233,0.977622765,0.989797351,0.995131458,0.997378226,0.998136237,0.997933977,0.996452269,0.991529526,0.973638295
0.44,0.265472104,0.53171463,0.761964143,0.889608497,0.95025024,0.977676652,0.989860554,0.99520972,0.997481898,0.998285765,0.998173825,0.996889417,0.992444281,0.975745
0.45,0.265472163,0.531725757,0.761994047,0.889644298,0.950289431,0.977720711,0.989912426,0.995274322,0.997568156,0.998411509,0.998378391,0.997269308,0.9932592,0.977683685
0.46,0.265472207,0.531734839,0.762018591,0.889673563,0.950321424,0.977756734,0.989954999,0.995327647,0.997639925,0.998517248,0.998552858,0.997599424,0.993985119,0.979467631
0.47,0.26547224,0.531742251,0.762038734,0.889697484,0.950347541,0.977786188,0.989989938,0.995371663,0.997699637,0.998606163,0.99870165,0.997886271,0.994631711,0.981109089
0.48,0.265472264,0.531748301,0.762055267,0.889717037,0.95036886,0.977810269,0.990018612,0.995407995,0.997749317,0.99868093,0.998828542,0.998135511,0.995207609,0.982619354
0.49,0.265472283,0.531753239,0.762068835,0.88973302,0.950386264,0.977829958,0.990042144,0.995437984,0.997790651,0.998743798,0.998936755,0.998352066,0.995720512,0.98400884
0.5,0.265472297,0.531757269,0.762079971,0.889746084,0.950400471,0.977846056,0.990061457,0.995462737,0.997825039,0.998796661,0.999029036,0.998540216,0.996177287,0.985287144
0.51,0.265472307,0.531760559,0.762089111,0.889756763,0.950412068,0.977859217,0.990077307,0.995483169,0.997853649,0.998841111,0.99910773,0.998703682,0.99658406,0.986463111
0.52,0.265472315,0.531763244,0.762096612,0.889765491,0.950421535,0.977869977,0.990090314,0.995500033,0.997877451,0.998878485,0.999174836,0.9988457,0.996946287,0.98754489
0.53,0.26547232,0.531765435,0.762102768,0.889772625,0.950429263,0.977878775,0.990100989,0.995513952,0.997897254,0.998909911,0.999232061,0.998969081,0.997268837,0.988539988
0.54,0.265472325,0.531767224,0.76210782,0.889778457,0.950435571,0.977885968,0.990109749,0.995525442,0.997913729,0.998936334,0.999280857,0.999076268,0.997556046,0.98945532
0.55,0.265472328,0.531768684,0.762111967,0.889783224,0.950440721,0.977891849,0.990116939,0.995534925,0.997927435,0.998958552,0.999322467,0.999169386,0.997811778,0.990297252
0.56,0.26547233,0.531769875,0.76211537,0.88978712,0.950444925,0.977896657,0.990122839,0.995542752,0.997938838,0.998977232,0.999357949,0.99925028,0.998039479,0.991071648
0.57,0.265472332,0.531770848,0.762118163,0.889790304,0.950448356,0.977900588,0.990127681,0.995549212,0.997948325,0.998992939,0.999388205,0.999320554,0.998242215,0.991783907
0.58,0.265472333,0.531771642,0.762120455,0.889792907,0.950451157,0.977903802,0.990131654,0.995554545,0.997956218,0.999006145,0.999414004,0.999381602,0.998422721,0.992438999
0.59,0.265472334,0.531772289,0.762122336,0.889795035,0.950453443,0.977906429,0.990134915,0.995558946,0.997962784,0.999017249,0.999436002,0.999434634,0.99858343,0.993041497
0.6,0.265472335,0.531772818,0.76212388,0.889796774,0.95045531,0.977908577,0.990137591,0.995562579,0.997968246,0.999026585,0.999454761,0.999480703,0.998726513,0.993595614
0.61,0.265472336,0.53177325,0.762125147,0.889798196,0.950456834,0.977910334,0.990139788,0.995565577,0.997972791,0.999034435,0.999470756,0.999520722,0.998853899,0.994105224
0.62,0.265472336,0.531773602,0.762126187,0.889799358,0.950458077,0.97791177,0.99014159,0.995568052,0.997976572,0.999041035,0.999484395,0.999555486,0.998967311,0.994573894
0.63,0.265472336,0.53177389,0.762127041,0.889800307,0.950459092,0.977912944,0.990143069,0.995570095,0.997979717,0.999046585,0.999496025,0.999585685,0.999068279,0.995004907
0.64,0.265472337,0.531774124,0.762127741,0.889801084,0.950459921,0.977913904,0.990144283,0.995571781,0.997982334,0.999051251,0.999505941,0.999611918,0.999158168,0.995401281
0.65,0.265472337,0.531774316,0.762128316,0.889801718,0.950460598,0.977914688,0.990145279,0.995573172,0.997984511,0.999055174,0.999514397,0.999634706,0.999238194,0.995765796
0.66,0.265472337,0.531774472,0.762128788,0.889802237,0.95046115,0.97791533,0.990146097,0.995574321,0.997986322,0.999058472,0.999521607,0.999654501,0.999309437,0.996101009
0.67,0.265472337,0.5317746,0.762129175,0.889802661,0.950461601,0.977915855,0.990146768,0.995575269,0.997987829,0.999061246,0.999527755,0.999671696,0.999372861,0.99640927
0.68,0.265472337,0.531774704,0.762129493,0.889803007,0.950461969,0.977916284,0.990147318,0.995576052,0.997989082,0.999063577,0.999532997,0.999686633,0.999429325,0.996692745
0.69,0.265472337,0.531774789,0.762129753,0.88980329,0.950462269,0.977916634,0.99014777,0.995576697,0.997990125,0.999065538,0.999537467,0.999699608,0.999479591,0.996953423
0.7,0.265472337,0.531774858,0.762129967,0.889803522,0.950462514,0.977916921,0.990148141,0.995577231,0.997990993,0.999067187,0.999541279,0.999710879,0.999524339,0.997193136
0.71,0.265472337,0.531774915,0.762130143,0.889803711,0.950462714,0.977917155,0.990148445,0.995577671,0.997991714,0.999068573,0.999544529,0.999720669,0.999564176,0.997413568
0.72,0.265472337,0.531774961,0.762130287,0.889803866,0.950462878,0.977917347,0.990148695,0.995578034,0.997992315,0.999069738,0.9995473,0.999729174,0.99959964,0.997616269
0.73,0.265472337,0.531774999,0.762130406,0.889803992,0.950463011,0.977917503,0.9901489,0.995578333,0.997992814,0.999070718,0.999549663,0.999736562,0.999631211,0.997802663
0.74,0.265472337,0.531775029,0.762130503,0.889804096,0.95046312,0.977917632,0.990149068,0.995578581,0.99799323,0.999071542,0.999551678,0.999742979,0.999659316,0.997974061
