,Force (pN),,,,,,,,,,,,,
t (s),0,3,6,9,12,15,18,21,24,27,30,33,36,39
0,0.091350095,0.091350095,0.091350095,0.091350095,0.091350095,0.091350095,0.091350095,0.091350095,0.091350095,0.091350095,0.091350095,0.091350095,0.091350095,0.091350095
0.01,0.098405053,0.103370844,0.107602729,0.111778697,0.11640417,0.121900212,0.128666776,0.137125808,0.147749891,0.161079201,0.177725942,0.198361718,0.223679635,0.254320061
0.02,0.105377999,0.115599926,0.124375109,0.132977867,0.14240067,0.153465682,0.1669244,0.183523589,0.204036241,0.229256974,0.259957055,0.296791096,0.340149356,0.389960995
0.03,0.11226168,0.128015046,0.141634624,0.154898037,0.169257793,0.185910208,0.20590327,0.230207243,0.259729556,0.29526908,0.337407316,0.386340062,0.441670308,0.502212874
0.04,0.119049248,0.140592393,0.159343441,0.177479967,0.196879448,0.219079586,0.24536589,0.276832196,0.314370296,0.358581765,0.409621393,0.467001433,0.529415487,0.594670514
0.05,0.125734288,0.153306802,0.177458699,0.200655076,0.225156231,0.252804277,0.285062549,0.323055598,0.367533723,0.418756157,0.476321779,0.539007269,0.604701213,0.67052823
0.06,0.13231083,0.166131943,0.195932811,0.22434604,0.253966868,0.28690264,0.324737543,0.36854633,0.418842265,0.475455923,0.53739537,0.602772512,0.668892148,0.732567664
0.07,0.138773369,0.179040534,0.214713876,0.248467638,0.283180091,0.321184725,0.364135726,0.412994275,0.467974781,0.528448513,0.592872619,0.658840125,0.723330809,0.783173391
0.08,0.14511687,0.192004565,0.233746206,0.272927856,0.312656913,0.355456444,0.403009027,0.456118347,0.514672375,0.577600791,0.642902441,0.707831935,0.76928939,0.824364594
0.09,0.15133678,0.204995538,0.252970934,0.297629208,0.342253205,0.389523941,0.441122587,0.497672841,0.558740731,0.622870266,0.68772572,0.750407478,0.807940168,0.857834504
0.1,0.157429029,0.217984718,0.272326722,0.322470237,0.371822481,0.423197957,0.478260202,0.537451865,0.600049251,0.664293314,0.727649675,0.787231605,0.84034032,0.884992096
0.11,0.163390025,0.230943386,0.291750524,0.347347162,0.40121879,0.45629797,0.514228813,0.575291771,0.638527482,0.701971741,0.763024652,0.818950537,0.867427237,0.907002614
0.12,0.169216659,0.243843092,0.3111784,0.3721556,0.430299581,0.48865593,0.548861874,0.611071658,0.674159487,0.736058893,0.794224264,0.846175402,0.890020997,0.924824997
0.13,0.17490629,0.256655903,0.330546359,0.396792316,0.458928423,0.52011943,0.582021511,0.644712152,0.706976816,0.766746259,0.821629235,0.869471954,0.908831346,0.939245307
0.14,0.180456739,0.269354644,0.349791194,0.421156922,0.486977484,0.550554201,0.613599481,0.676172773,0.737050746,0.794251241,0.845614907,0.889355174,0.924467211,0.950905857
0.15,0.185866279,0.281913119,0.368851307,0.445153488,0.514329665,0.579845857,0.643517015,0.705448226,0.76448433,0.81880649,0.866542093,0.906287494,0.937447337,0.96033017
0.16,0.191133613,0.294306322,0.387667477,0.468691992,0.54088032,0.607900889,0.671723668,0.732563975,0.789404736,0.840651015,0.88475083,0.920679589,0.948211105,0.967944077
0.17,0.196257865,0.306510622,0.406183574,0.491689576,0.566538531,0.634646914,0.698195397,0.757571449,0.811956176,0.860023049,0.900556512,0.932892876,0.957128922,0.974093379
0.18,0.201238557,0.318503924,0.424347186,0.514071568,0.59122791,0.660032277,0.72293202,0.780543163,0.832293646,0.877154599,0.914247905,0.943243056,0.964511852,0.979058518
0.19,0.206075593,0.330265807,0.442110152,0.535772257,0.614886943,0.684025072,0.745954306,0.801567989,0.850577584,0.892267462,0.926086582,0.952004194,0.970620297,0.983066685
0.2,0.210769233,0.341777635,0.45942899,0.556735401,0.637468905,0.706611712,0.767300841,0.82074677,0.866969468,0.905570524,0.936307387,0.959412987,0.975671683,0.986301778
0.21,0.215320076,0.353022636,0.476265217,0.576914487,0.658941397,0.727795166,0.787024871,0.838188367,0.881628311,0.917258097,0.94511961,0.965672989,0.979847166,0.988912547
0.22,0.219729036,0.36398596,0.492585549,0.596272737,0.679285568,0.747592972,0.805191231,0.854006234,0.894707993,0.927509089,0.952708607,0.970958626,0.983297422,0.991019245
0.23,0.223997319,0.374654706,0.508362007,0.614782906,0.698495078,0.766035145,0.821873463,0.868315517,0.906355316,0.936486809,0.959237678,0.975418919,0.98614759,0.992719043
0.24,0.2281264,0.385017925,0.523571905,0.632426884,0.716574885,0.783162066,0.837151214,0.881230688,0.916708679,0.944339247,0.964850054,0.979180865,0.988501478,0.994090434
0.25,0.232118,0.395066598,0.538197758,0.649195139,0.733539916,0.799022434,0.851107919,0.892863665,0.925897273,0.951199681,0.969670893,0.98235247,0.990445118,0.995196804
0.26,0.235974065,0.404793595,0.552227094,0.665086046,0.74941368,0.813671335,0.863828828,0.903322383,0.934040685,0.957187508,0.973809215,0.985025424,0.992049749,0.996089325
0.27,0.239696742,0.414193614,0.565652211,0.680105124,0.764226886,0.827168476,0.875399336,0.912709751,0.941248816,0.962409213,0.977359721,0.987277453,0.993374322,0.996809306
0.28,0.243288361,0.423263098,0.578469866,0.694264218,0.778016086,0.839576607,0.88590364,0.921122949,0.947622053,0.966959391,0.980404488,0.989174363,0.994467596,0.997390083
0.29,0.246751407,0.432000152,0.590680929,0.707580664,0.790822413,0.85096014,0.895423664,0.92865299,0.953251607,0.970921804,0.983014512,0.990771815,0.995369877,0.99785856
