F,k₋f
0.0,5.037967120613374
0.1,5.088162748438194
0.2,5.138858498830789
0.3,5.190059354746721
0.4,5.24177034878907
0.5,5.2939965637031055
0.6,5.346743132875865
0.7,5.400015240840729
0.8,5.453818123787015
0.9,5.508157070074649
1.0,5.563037420753964
1.1,5.618464570090682
1.2,5.674443966096123
1.3,5.730981111062699
1.4,5.788081562104736
1.5,5.845750931704699
1.6,5.903994888264845
1.7,5.962819156664377
1.8,6.02222951882216
1.9,6.0822318142650165
2.0,6.14283194070172
2.1,6.2040358546026795
2.2,6.265849571785407
2.3,6.328279168005828
2.4,6.391330779555471
2.5,6.455010603864611
2.6,6.519324900111428
2.7,6.58427998983723
2.8,6.649882257567799
2.9,6.716138151440943
3.0,6.7830541838402905
3.1,6.850636932035395
3.2,6.918893038828239
3.3,6.987829213206145
3.4,7.0574522310012275
3.5,7.1277689355563885
3.6,7.1987862383979655
3.7,7.270511119915069
3.8,7.342950630045704
3.9,7.416111888969707
4.0,7.4900020878086035
4.1,7.564628489332438
4.2,7.639998428673633
4.3,7.716119314047974
4.4,7.792998627482776
4.5,7.8706439255522955
4.6,7.94906284012048
4.7,8.028263079091118
4.8,8.108252427165453
4.9,8.18903874660736
5.0,8.27062997801613
5.1,8.353034141106967
5.2,8.436259335499258
5.3,8.520313741512696
5.4,8.605205620971333
5.5,8.690943318015638
5.6,8.777535259922676
5.7,8.864989957934418
5.8,8.95331600809432
5.9,9.042522092092264
6.0,9.132616978117865
6.1,9.22360952172232
6.2,9.315508666688848
6.3,9.408323445911757
6.4,9.50206298228432
6.5,9.596736489595475
6.6,9.692353273435454
6.7,9.788922732110446
6.8,9.886454357566373
6.9,9.984957736321862
7.0,10.084442550410516
7.1,10.184918578332578
7.2,10.28639569601608
7.3,10.388883877787539
7.4,10.492393197352374
7.5,10.596933828785048
7.6,10.7025160475291
7.7,10.809150231407125
7.8,10.916846861640835
7.9,11.02561652388126
8.0,11.135469909249236
8.1,11.246417815386247
8.2,11.358471147515738
8.3,11.471640919515016
8.4,11.585938254997796
8.5,11.701374388407576
8.6,11.817960666121886
8.7,11.935708547567526
8.8,12.054629606346943
8.9,12.174735531375802
9.0,12.296038128031924
9.1,12.418549319315627
9.2,12.542281147021692
9.3,12.667245772922927
9.4,12.793455479965585
9.5,12.920922673476682
9.6,13.049659882383306
9.7,13.179679760444131
9.8,13.310995087493158
9.9,13.443618770695851
10.0,13.57756384581783
10.1,13.712843478506144
10.2,13.849470965583377
10.3,13.987459736354564
10.4,14.126823353927204
10.5,14.267575516544412
10.6,14.4097300589313
10.7,14.553300953654839
10.8,14.69830231249724
10.9,14.844748387843001
11.0,14.99265357407981
11.1,15.142032409013407
11.2,15.292899575296474
11.3,15.445269901871862
11.4,15.599158365430132
11.5,15.754580091881621
11.6,15.911550357843202
11.7,16.070084592139864
11.8,16.230198377321184
11.9,16.391907451192992
12.0,16.555227708364267
12.1,16.720175201809404
12.2,16.886766144446128
12.3,17.055016910729062
12.4,17.224944038259167
12.5,17.396564229409314
12.6,17.569894352965918
12.7,17.74495144578702
12.8,17.92175271447688
12.9,18.100315537077208
13.0,18.280657464775278
13.1,18.4627962236291
13.2,18.64674971630969
13.3,18.832536023860758
13.4,19.020173407475944
13.5,19.20968031029372
13.6,19.40107535921017
13.7,19.5943773667099
13.8,19.78960533271511
13.9,19.98677844645312
14.0,20.18591608834252
14.1,20.38703783189811
14.2,20.590163445654778
14.3,20.79531289511059
14.4,21.002506344689227
14.5,21.21176415972199
14.6,21.4231069084495
14.7,21.636555364043424
14.8,21.85213050664825
14.9,22.06985352544349
15.0,22.28974582072639
15.1,22.511829006015383
15.2,22.73612491017451
15.3,22.962655579559037
15.4,23.191443280182366
15.5,23.422510499904657
15.6,23.655879950643158
15.7,23.891574570604583
15.8,24.12961752653975
15.9,24.370032216020697
16.0,24.612842269740405
16.1,24.858071553835547
16.2,25.105744172232303
16.3,25.355884469015567
16.4,25.60851703082173
16.5,25.863666689255435
16.6,26.12135852333018
16.7,26.38161786193342
16.8,26.644470286316267
16.9,26.909941632607733
17.0,27.178057994354365
17.1,27.44884572508492
17.2,27.722331440900692
17.3,27.998542023091694
17.4,28.27750462077883
17.5,28.559246653582417
17.6,28.843795814317307
17.7,29.131180071714823
17.8,29.421427673171895
17.9,29.71456714752749
18.0,30.010627307866805
18.1,30.309637254353245
18.2,30.611626377088836
18.3,30.916624359002977
18.4,31.22466117876993
18.5,31.53576711375564
18.6,31.849972742993568
18.7,32.167308950190424
18.8,32.48780692676182
18.9,32.81149817489799
19.0,33.13841451066031
19.1,33.468588067108456
19.2,33.802051297458846
19.3,34.13883697827452
19.4,34.47897821268674
19.5,34.82250843364885
19.6,35.169461407222315
19.7,35.51987123589571
19.8,35.873772361936695
19.9,36.23119957077739
20.0,36.59218799443351
20.1,36.95677311495744
20.2,37.324990767925925
20.3,37.69687714596241
20.4,38.072468802294274
20.5,38.45180265434597
20.6,38.834915987367495
20.7,39.221846458099236
