F,k₋f,k₋s,ka,k₋a
0.0,8.52981495964503,0.045,0.5444100482998262,6.803308570996104
0.1,8.52981495977468,0.04557666145290364,0.549703981955768,6.674970660931239
0.2,8.529814959904332,0.046160712648724296,0.5550493947011224,6.549053722807884
0.3,8.529814960033981,0.04675224828479277,0.5604467871270978,6.425512087305581
0.4,8.529814960163634,0.04735136427195768,0.5658966646927349,6.30430094661193
0.5,8.529814960293283,0.04795815775013629,0.5713995377722416,6.18537633817106
0.6,8.529814960422934,0.048572727104064635,0.5769559217027898,6.068695128738673
0.7,8.529814960552585,0.04919517197924959,0.5825663368327749,5.95421499873788
0.8,8.529814960682236,0.04982559329812511,0.5882313085705473,5.841894426910132
0.9,8.529814960811887,0.05046409327641586,0.5939513674336145,5.731692675255723
1.0,8.529814960941538,0.051110775439710154,0.5997270490983251,5.623569774258346
1.1,8.529814961071187,0.05176574464024561,0.6055588944500327,5.5174865083884
1.2,8.529814961200838,0.052429107073909686,0.6114474496337504,5.413404401879745
1.3,8.529814961330489,0.05310097029745817,0.6173932661052957,5.311285704774775
1.4,8.52981496146014,0.05378144324595429,0.6233969006829343,5.211093379232737
1.5,8.529814961589791,0.054470636250431345,0.6294589155995246,5.1127910860963155
1.6,8.52981496171944,0.05516866105578157,0.6355798785551711,5.016343171711652
1.7,8.529814961849093,0.05587563083887437,0.6417603627703881,4.921714654996972
1.8,8.529814961978742,0.05659166022690666,0.6480009470397815,4.828871214755153
1.9,8.529814962108395,0.05731686531598839,0.6543022157862517,4.737779177225635
2.0,8.529814962238044,0.05805136368996619,0.6606647591157249,4.6484055038711505
2.1,8.529814962367697,0.05879527443948828,0.6670891728724143,4.560717779394838
2.2,8.529814962497346,0.0595487181813137,0.6735760586946223,4.4746841999834155
2.3,8.529814962626995,0.06031181707786896,0.6801260240710809,4.390273561772121
2.4,8.529814962756648,0.06108469485705525,0.6867396823978443,4.307455249527264
2.5,8.529814962886297,0.061867476832309594,0.6934176530357311,4.226199225542257
2.6,8.52981496301595,0.06266028992292298,0.7001605613683274,4.146476018743122
2.7,8.529814963145599,0.06346326267461891,0.7069690388605532,4.06825671399951
2.8,8.52981496327525,0.06427652528039562,0.7138437231177981,3.99151294163735
2.9,8.5298149634049,0.06510020960163543,0.7207852579456321,3.9162168671493465
3.0,8.529814963534552,0.06593444918948456,0.727794293410098,3.8423411810995605
3.1,8.529814963664203,0.066779379306507,0.7348714858985882,3.7698590892184503
3.2,8.529814963793854,0.06763513694861577,0.7420174981813151,3.6987443026847426
3.3,8.529814963923503,0.06850186086728524,0.7492329994733787,3.6289710285906374
3.4,8.529814964053154,0.06937969159204818,0.7565186654974378,3.560513960586874
