t,n
0.0,0.0
0.1,0.05493826876092698
0.2,0.10596142951277739
0.3,0.15334769018642427
0.4,0.19735281080695144
0.5,0.23821489372551166
0.6,0.2761887201823326
0.7,0.3114265716378347
0.8,0.3441777550615471
0.9,0.3745659008552505
1.0,0.4028277234632979
1.1,0.4290162397769389
1.2,0.4534010746120412
1.3,0.4759941963708318
1.4,0.4969926886858769
1.5,0.516535393379806
1.6,0.5346138526952724
1.7,0.551429489931386
1.8,0.5670896217759342
1.9,0.5815879459392399
2.0,0.5950162854745432
2.1,0.6075558448887151
2.2,0.6192066241817554
2.3,0.6299563469752857
2.4,0.6399480135766829
2.5,0.6492797569835643
2.6,0.6579515771959302
2.7,0.665956777678403
2.8,0.6733551966119816
2.9,0.6802830868200388
3.0,0.6867404483025744
3.1,0.6927272810595887
3.2,0.6982321799868849
3.3,0.7033341962521651
3.4,0.7081163826800024
3.5,0.7125787392703969
3.6,0.7167212660233485
3.7,0.7205439629388574
3.8,0.7240401701754089
3.9,0.7273162111796945
4.0,0.7303870807411005
4.1,0.7332527788596267
4.2,0.7359133055352733
4.3,0.7383686607680403
4.4,0.7406082555968894
4.5,0.7426847639457307
4.6,0.7446388684132345
4.7,0.7464705689994009
4.8,0.74817986570423
4.9,0.7497667585277216
5.0,0.7512312474698758
5.1,0.7525733325306926
5.2,0.7537869283936498
5.3,0.7549327528662302
5.4,0.7560121275203704
5.5,0.7570250523560703
5.6,0.75797152737333
5.7,0.7588515525721495
5.8,0.7596651279525288
5.9,0.7604122535144678
6.0,0.7610909756547115
6.1,0.7617019753081853
6.2,0.7622812652512011
6.3,0.7628288454837591
6.4,0.7633447160058592
6.5,0.7638288768175014
6.6,0.7642813279186857
6.7,0.7647020693094123
6.8,0.7650911009896809
6.9,0.7654484229594917
7.0,0.7657740352188446
7.1,0.7660647688054526
7.2,0.7663261807787762
7.3,0.7665750412654365
7.4,0.7668113502654333
7.5,0.7670351077787668
7.6,0.7672463138054368
7.7,0.7674449683454434
7.8,0.7676310713987866
7.9,0.7678046229654665
8.0,0.7679656230454829
8.1,0.7681140716388358
8.2,0.7682499687455254
8.3,0.7683733143655517
8.4,0.7684841084989145
8.5,0.7685795397650396
8.6,0.7686658371744765
8.7,0.7687484418494638
8.8,0.7688273537900014
8.9,0.7689025729960897
9.0,0.7689740994677283
9.1,0.7690419332049173
9.2,0.7691060742076569
9.3,0.7691665224759467
9.4,0.7692232780097872
9.5,0.769276340809178
9.6,0.7693257108741193
9.7,0.7693713882046109
9.8,0.7694133728006531
9.9,0.7694516646622457
10.0,0.7694862637893887
10.1,0.7695171701820822
10.2,0.7695443838403261
10.3,0.7695679047641204
10.4,0.7695862821224831
10.5,0.7696039524804356
10.6,0.7696209919689748
10.7,0.7696374005881008
10.8,0.7696531783378135
10.9,0.7696683252181131
11.0,0.7696828412289994
11.1,0.7696967263704725
11.2,0.7697099806425323
11.3,0.7697226040451789
11.4,0.7697345965784123
11.5,0.7697459582422324
11.6,0.7697566890366393
11.7,0.769766788961633
11.8,0.7697762580172134
11.9,0.7697850962033805
12.0,0.7697933035201345
12.1,0.7698008799674753
12.2,0.7698078255454027
12.3,0.7698141402539169
12.4,0.769819824093018
12.5,0.7698248770627057
12.6,0.7698292991629803
12.7,0.7698330903938415
12.8,0.7698362507552896
12.9,0.7698387802473244
13.0,0.769840678869946
13.1,0.7698418850612495
13.2,0.76984294491681
13.3,0.769843974970043
13.4,0.7698449752209483
13.5,0.7698459456695261
13.6,0.7698468863157764
13.7,0.7698477971596989
13.8,0.7698486782012939
13.9,0.7698495294405614
14.0,0.7698503508775012
14.1,0.7698511425121135
14.2,0.7698519043443981
14.3,0.7698526363743552
14.4,0.7698533386019847
14.5,0.7698540110272866
14.6,0.769854653650261
14.7,0.7698552664709076
14.8,0.7698558494892268
14.9,0.7698564027052184
15.0,0.7698569261188823
15.1,0.7698574197302187
15.2,0.7698578835392275
15.3,0.7698583175459087
15.4,0.7698587217502624
15.5,0.7698590961522884
15.6,0.7698594407519869
15.7,0.7698597555493577
15.8,0.7698600405444009
15.9,0.7698602957371167
16.0,0.7698605211275047
16.1,0.7698607167155652
16.2,0.7698608825012981
16.3,0.7698610184847036
16.4,0.7698611246657813
16.5,0.7698612010445315
16.6,0.769861247620954
16.7,0.769861264395049
16.8,0.7698612513668164
16.9,0.7698612085362562
17.0,0.7698611359033685
