t,fit,std
0,0.19849276028586899,0.016441260762875685
1,0.17975791359398569,0.014985328233623545
2,0.16279136555472262,0.01382816251461626
3,0.14742621434196485,0.012901896220838673
4,0.13351131124885657,0.012148278607028487
5,0.1209097738211073,0.011519563547928545
6,0.10949763932901624,0.010978356370857631
7,0.09916264533226896,0.010496609119016355
8,0.08980312534178642,0.010054136640464314
9,0.08132700871512812,0.009637006208368078
10,0.07365091494730999,0.00923603790998049
11,0.0666993334474732,0.008845532127352737
12,0.060403880732776985,0.008462254093075236
13,0.05470262773244808,0.008084657597167151
14,0.049539490584601484,0.007712309962476663
15,0.044863678933033765,0.007345476626305106
16,0.040629196296821976,0.006984827552914925
17,0.03679438759780877,0.006631234265092603
18,0.0333215293949509,0.006285633029877079
19,0.03017645879462065,0.005948935632253573
20,0.027328237386409427,0.005621973937482543
21,0.024748846898532652,0.005305468128371691
22,0.02241291357896408,0.0050000112787463155
23,0.020297458591005933,0.004706064979452705
24,0.018381671967908537,0.004423962239365435
25,0.01664670790290545,0.004153914980263809
26,0.015075499360909584,0.003896024238927161
27,0.01365259018818479,0.003650291763538251
28,0.012363983068437055,0.003416632104541529
29,0.011197001829652296,0.003194884596482641
30,0.010140166747177975,0.002984824839114865
31,0.009183081616390781,0.0027861754364869444
32,0.008316331484071815,0.002598615858728628
33,0.007531390032461302,0.0024217913650951394
34,0.006820535704919437,0.0022553209774345906
35,0.006176775748112193,0.002098804527086383
36,0.005593777423516554,0.0019518288200248437
37,0.005065805711565097,0.0018139729782709092
38,0.004587666895618594,0.0016848130227139818
39,0.004154657470795952,0.0015639257653438906
40,0.0037625178750719094,0.0014508920788204426
