t,fit,std
0,0.08458653355945382,0.006369282864713524
1,0.09106791070614523,0.00819270238042796
2,0.0997050983562368,0.01077317771085633
3,0.11106029089805725,0.014321942560935042
4,0.12570061933297333,0.01903165016680674
5,0.14406056521747057,0.024989647186654654
6,0.16621051575625934,0.032043539954001665
7,0.19155526201799994,0.039665189135511925
8,0.21858104164807649,0.046934135780640276
9,0.24486944619013967,0.052780329887929245
10,0.26756270042851205,0.05645682502420584
11,0.2841897591607263,0.057913603190940646
12,0.2934231091520224,0.0577114509612137
13,0.2953243245761893,0.05655735385018264
14,0.29102183769895296,0.05492304629401688
15,0.28213225276067033,0.05300208681492258
16,0.2702644741578959,0.05085416090161885
17,0.2567489890295567,0.04852121147991939
18,0.2425628239033598,0.04606130547406718
19,0.22836372811096545,0.04354018127036295
20,0.2145628116577339,0.04101727273850785
21,0.2013972905132086,0.03853853750823906
22,0.18898896033154883,0.036135609634712816
23,0.17738638077351487,0.033828092672349444
24,0.16659344768971357,0.031626669832914234
25,0.15658797620609494,0.02953592180787142
26,0.14733344613529722,0.027556507087092154
27,0.13878625796436472,0.02568671242577409
28,0.13090011922677874,0.023923499648634612
29,0.1236286302742243,0.022263188283920644
30,0.11692675597694235,0.0207018899854452
31,0.11075161649112354,0.019235780380590282
32,0.10506286705571877,0.017861267636005686
33,0.09982283357046712,0.016575097068897073
34,0.09499650619437774,0.01537441689369372
35,0.09055145320809026,0.014256820213607328
36,0.08645769273533618,0.013220371199317113
37,0.08268754480135386,0.0122636178674996
38,0.07921547697428931,0.011385589128547934
39,0.076017951223324,0.010585769336748924
40,0.07307327623364011,0.009864039478718965
