t,fit,std
0,0.13726000132902103,0.004765799080748795
1,0.1425140528566875,0.005609899934701326
2,0.14918576279489332,0.006748278326001677
3,0.1576516995175795,0.008263206025584677
4,0.16837484351773319,0.01025759288967498
5,0.18191177031012457,0.012856797288804688
6,0.19890909333090412,0.01620631396514851
7,0.22007869216841502,0.02046167199303278
8,0.24613629210248855,0.02576584886363634
9,0.2776842320629721,0.03221020822358582
10,0.3150219095075199,0.03978029423842463
11,0.3578854070841437,0.04830086991782751
12,0.40516054732186574,0.057413513981015046
13,0.45467814757769265,0.06662879289724237
14,0.5032514856267765,0.07546255029391644
15,0.547084660371071,0.08358264534395937
16,0.5825187388845525,0.09083442020994305
17,0.6068584841330559,0.09710436900036375
18,0.6189204757001628,0.10217256633125198
19,0.6190846078906582,0.10572906738202589
20,0.6089095636624761,0.10752825452799213
21,0.590562166306078,0.10751848225650414
22,0.5663056019102763,0.10585643836955805
23,0.5381684874290609,0.10283617389327923
24,0.5077977986137937,0.09880011593135998
25,0.4764404979631731,0.09407345550600409
26,0.4449925713110261,0.08893063468892079
27,0.41407125776178183,0.08358614177176818
28,0.38408593923639095,0.07819881856212
29,0.35529736821422064,0.07288156569472926
30,0.3278629571923432,0.06771181896924704
31,0.30186952676226153,0.06274072534782703
32,0.2773561041583692,0.058000411064879916
33,0.25432938192301097,0.053509424344536656
34,0.2327740184955731,0.04927668390236256
35,0.21265944316229607,0.04530429894342746
36,0.19394436171948393,0.041589575376004384
37,0.17657978916044823,0.03812645003411057
38,0.1605111608713009,0.03490652696598505
39,0.1456798783596216,0.0319198361377912
40,0.13202451105188504,0.029155395872941508
